State,County,Market Name,Address,Hours of Operations,type of Market
NJ,Middlesex,Sunmerry Bakery,"561 US 1 Edison, NJ 08817",Mon-Sun 9 am - 6 pm,Bakery
NJ,Middlesex,La Bon Bake Shoppes,"2062 New Jersey 27 Edison, NJ 08817",Mon-Sun 10 am - 6 pm,Bakery
NJ,Morrise,Giancarlos Bakery & Pastry Shop,"410 Rte 10 Ste 10 Ledgewood, NJ 07852",Mon-Sun 7 am - 6 pm,Bakery
NJ,Morrise,Sophia's Bakery,"271 US-46 Mine Hill, NJ 07803",Mon-Sun 8 am - 6 pm,Bakery
NJ,Morrise,Dulce Aroma Bakery,"389 Dover-Chester Rd Randolph, NJ 07869",Mon-Sun 9 am - 6 pm,Bakery
NJ,Morrise,Suzi Cakes," 405 state park st, Morristown, NJ 07960",Mon-Sun 10 am - 6 pm,Bakery
NJ,Morrise,Sweet Shansations,"317 US 46 Parsippany, NJ 07054",Mon-Sun 7 am - 6 pm,Bakery
NJ,Morrise,Verrilli's Bakery,"3 Martin Luther King Ave Morristown, NJ 07960",Mon-Sun 8 am - 6 pm,Bakery
NJ,Morrise,Uncle Giuseppe's marketplace,"1711 Rte 10 E Morris Plains, NJ 07950",Mon-Sun 9 am - 6 pm,Bakery
NJ,Morrise,Neverland Bake Shoppe,"56 st, Mount Arlington, NJ 07856",Mon-Sun 10 am - 6 pm,Bakery
NJ,Morrise,Hacklebarney Farm Cider Mill,"104 State Park Rd Chester, NJ 07930",Mon-Sun 11 am - 6 pm,Bakery
NJ,Morrise,Pergamino's Bakery $ Café,"720 Main St Boonton, NJ 07005",Mon-Sun 7 am - 6 pm,Bakery
NJ,Essex,Mattarello Bakery & Café,"410 Rte 10 Ste 10 Ledgewood, NJ 07852",Mon-Sun 8 am - 6 pm,Bakery
NJ,Essex,Bloom Cakes & Bakery,"79 Bloomfield Ave Unit B Caldwell, NJ 07006",Mon-Sun 9 am - 6 pm,Bakery
NJ,Essex,Jayce Baudry French Pastry,"17 Church St Montclair, NJ 07042",Mon-Sun 10 am - 6 pm,Bakery
NJ,Essex,West orange Bake Shop,"480 Pleasant Valley Way West Orange, NJ 07052",Mon-Sun 11 am - 6 pm,Bakery
NJ,Essex,Gencarelli's Bakery,"446 Broad St Bloomfield, NJ 07003",Mon-Sun 7 am - 7 pm,Bakery
NJ,Essex,Natale's Summit Bakery,"185 Broad St Summit, NJ 07901",Mon-Sun 8 am - 6 pm,Bakery
NJ,Essex,Willow & Olivia Creations,"255 Main Street West Orange, NJ 07052",Mon-Sun 9 am - 6 pm,Bakery
NJ,Essex,Supreme Bakery,"40 Main St West Orange, NJ 07052",Mon-Sun 10 am - 6 pm,Bakery
NJ,Essex,Sorrento Bakery,"36 Eagle Rock Ave East Hanover, NJ 07936",Mon-Sun 11 am - 6 pm,Bakery
NJ,Essex,Calandra's Itialian & French Bakery,"204 1st Ave W Newark, NJ 07107",Mon-Sun 7 am - 6 pm,Bakery
NJ,Union,Lokl Café,"80 South St Morristown, NJ 07960",Mon-Sun 8 am - 6 pm,Bakery
NJ,Union,Krishenbaum Baking,"62 Elm St Westfield, NJ 07090",Mon-Sun 9 am - 6 pm,Bakery
NJ,Union,Bovella's Pastry Shoppe,"101 E Broad St Westfield, NJ 07090",Mon-Sun 10 am - 6 pm,Bakery
NJ,Union,Delice Macrons,"19 Eastman St Cranford, NJ 07016",Mon-Sun 11 am - 6 pm,Bakery
NJ,Union,Victoria's Cake,"409 Westfield Ave Westfield, NJ 07090",Mon-Sun 7 am - 6 pm,Bakery
NJ,Union,Swiss pastry Shoppe,"1711 E 2nd St Scotch Plains, NJ 07076",Mon-Sun 8 am - 6 pm,Bakery
NJ,Union,Papa Ganache,"106 N Union Ave Cranford, NJ 07016",Mon-Sun 9 am - 6 pm,Bakery
NJ,Union,Gigi's Cupcakes,"1925 Springfield Ave Maplewood, NJ 07040",Mon-Sun 10 am - 6 pm,Bakery
NJ,Union,Natale's Summit Bakery,"185 Broad St Summit, NJ 07901",Mon-Sun 7 am - 6 pm,Bakery
NJ,Union,Pinho's Bakery,"1027 Chestnut St Roselle, NJ 07203",Mon-Sun 8 am - 6 pm,Bakery
NJ,Bergen,Sook Pastry,"24 S Broad St Ridgewood, NJ 07450",Mon-Sun 9 am - 6 pm,Bakery
NJ,Bergen,CiCi's Pastry,"24-16 S Broad St Ridgewood, NJ 07450",Mon-Sun 10 am - 6 pm,Bakery
NJ,Bergen,Pierre French Bakery,"95 Broadway Elmwood Park, NJ 07407",Mon-Sun 11 am - 6 pm,Bakery
NJ,Bergen,Balthazar Bakery,"214 S Dean St Englewood, NJ 07631",Mon-Sun 6 am - 6 pm,Bakery
NJ,Bergen,Nothing Bundt Cakes,"393 Route 17 S Paramus, NJ 07652",Mon-Sun 7 am - 6 pm,Bakery
NJ,Bergen,Hackensack Pastry Shop,"184 Hudson St Hackensack, NJ 07601",Mon-Sun 8 am - 6 pm,Bakery
NJ,Bergen,Dulce DE Leche,"55 W Palisade Ave Englewood, NJ 07631",Mon-Sun 9 am - 6 pm,Bakery
NJ,Bergen,Joes Cake,"257 Westwood Ave Westwood, NJ 07675",Mon-Sun 10 am - 6 pm,Bakery
NJ,Bergen,Rispoli Pastry Shop,"23 Emerson Plz E Emerson, NJ 07630",Mon-Sun 11 am - 6 pm,Bakery
